time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-06T18:44:04.087Z,36.7638,-116.2683,9.1,-0.2,ml,15,103.2,0.058,0.146,nn,nn00617323,2018-01-06T20:25:21.342Z,"46km ESE of Beatty, Nevada",earthquake,,1.6,0.51,4,reviewed,nn,nn
2018-01-06T18:35:10.840Z,4.1708,126.7037,43.26,5,mb,,92,3.089,0.9,us,us1000c1hr,2018-01-06T18:52:35.040Z,"193km SE of Sarangani, Philippines",earthquake,7.7,7.3,0.054,111,reviewed,us,us
2018-01-06T18:27:59.330Z,38.8069992,-122.831337,3.44,0.54,md,7,82,0.002515,0.03,nc,nc72949886,2018-01-06T20:14:02.352Z,"7km WNW of The Geysers, CA",earthquake,1.04,2.24,0.02,2,automatic,nc,nc
2018-01-06T18:19:41.370Z,38.8096657,-122.8119965,2.72,1.46,md,21,73,0.01315,0.04,nc,nc72949881,2018-01-06T19:46:03.293Z,"6km NW of The Geysers, CA",earthquake,0.3,0.51,0.11,5,automatic,nc,nc
2018-01-06T18:19:28.520Z,33.041,-116.4193333,3.69,0.94,ml,24,88,0.1486,0.24,ci,ci37848135,2018-01-06T18:23:10.773Z,"18km ESE of Julian, CA",earthquake,0.44,1.4,0.112,18,automatic,ci,ci
2018-01-06T18:15:03.520Z,-6.0622,153.6322,6.74,4.6,mb,,149,2.365,0.84,us,us1000c1hh,2018-01-06T19:27:17.040Z,"188km SSE of Taron, Papua New Guinea",earthquake,10.8,5.8,0.089,40,reviewed,us,us
2018-01-06T18:11:51.750Z,38.8081665,-122.8113327,1.96,0.88,md,13,106,0.01253,0.03,nc,nc72949876,2018-01-06T19:17:02.226Z,"6km NW of The Geysers, CA",earthquake,0.31,0.64,0.02,4,automatic,nc,nc
2018-01-06T18:04:59.613Z,63.0949,-149.9808,92.4,1.2,ml,,,,0.34,ak,ak17956358,2018-01-06T18:09:07.040Z,"61km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-01-06T18:01:21.150Z,46.8411667,-121.9168333,6.2,1.22,ml,20,55,0.02199,0.08,uw,uw61363231,2018-01-07T00:29:26.490Z,"26km E of Eatonville, Washington",earthquake,0.19,0.25,0.193,13,reviewed,uw,uw
2018-01-06T17:56:31.695Z,39.0444,-118.8124,9.5,1.1,ml,11,122.8,0.338,0.1197,nn,nn00617310,2018-01-06T18:58:48.609Z,"31km ENE of Yerington, Nevada",earthquake,,9,0.34,6,reviewed,nn,nn
2018-01-06T17:56:29.290Z,33.4885,-116.7918333,5.9,0.75,ml,26,54,0.08921,0.2,ci,ci37848119,2018-01-06T18:00:14.859Z,"8km NE of Aguanga, CA",earthquake,0.26,1.26,0.137,20,automatic,ci,ci
2018-01-06T17:55:33.630Z,40.2983322,-124.5088348,20.37,2.13,md,9,269,0.1904,0.07,nc,nc72949871,2018-01-06T18:49:02.156Z,"19km W of Petrolia, CA",earthquake,2.42,0.77,0.03,2,automatic,nc,nc
2018-01-06T17:53:21.050Z,18.0048,-67.1055,14,2.12,md,7,195,0.0044,0.2,pr,pr2018006007,2018-01-06T18:19:29.689Z,"4km SW of Palmarejo, Puerto Rico",earthquake,1.29,1.47,0.28,6,reviewed,pr,pr
2018-01-06T17:25:37.742Z,59.7484,-136.673,0,2.2,ml,,,,0.61,ak,ak17956349,2018-01-06T17:32:19.891Z,"83km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-06T17:19:34.230Z,38.8221664,-122.817337,3.34,1.01,md,14,65,0.01385,0.05,nc,nc72949861,2018-01-06T18:34:02.134Z,"7km NW of The Geysers, CA",earthquake,0.39,1.25,0.21,3,automatic,nc,nc
2018-01-06T17:02:11.090Z,36.1616,-98.2872,5,2.5,ml,,47,0.148,0.64,us,us1000c1g8,2018-01-07T04:38:51.642Z,"5km NNE of Okeene, Oklahoma",earthquake,1.1,1.6,0.06,36,reviewed,us,us
2018-01-06T16:56:13.440Z,63.2781,-151.138,7.5,1.6,ml,,,,0.46,ak,ak17954379,2018-01-06T17:07:24.866Z,"110km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-06T16:48:47.391Z,37.7482,-116.2967,0,0.5,ml,6,185.22,0.538,0.2338,nn,nn00617309,2018-01-06T17:26:34.371Z,"49km S of Warm Springs, Nevada",earthquake,,0,0.12,2,reviewed,nn,nn
2018-01-06T16:32:53.414Z,61.6639,-148.477,16.1,0.7,ml,,,,0.15,ak,ak17954377,2018-01-06T16:37:28.864Z,"24km SE of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-06T15:47:34.835Z,60.0938,-141.2405,0,2.3,ml,,,,0.66,ak,ak17952404,2018-01-06T16:00:11.497Z,"66km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-06T15:39:44.350Z,0.9071,125.3788,83.49,5.1,mb,,62,1.992,1.33,us,us1000c1fn,2018-01-06T22:23:10.086Z,"63km SSE of Bitung, Indonesia",earthquake,5,7.4,0.09,40,reviewed,us,us
2018-01-06T15:39:43.505Z,53.1516,-166.8138,31.2,2.5,ml,,,,0.23,ak,ak17952399,2018-01-06T20:45:02.244Z,"82km SSW of Unalaska, Alaska",earthquake,,14.2,,,reviewed,ak,ak
2018-01-06T15:37:17.170Z,28.8464,-98.1843,5,3.5,mb_lg,,80,0.329,0.73,us,us1000c1fk,2018-01-07T04:18:18.844Z,"26km SSW of Poth, Texas",earthquake,3.6,1.6,0.075,46,reviewed,us,us
2018-01-06T15:36:44.680Z,34.2886667,-117.9876667,12.48,1.38,ml,15,67,0.05469,0.26,ci,ci37848095,2018-01-06T15:40:23.615Z,"15km NNE of Sierra Madre, CA",earthquake,0.66,0.82,0.355,31,automatic,ci,ci
2018-01-06T15:33:15.640Z,46.2968333,-122.0406667,5.73,0.55,ml,10,248,0.0846,0.12,uw,uw61363221,2018-01-07T00:18:35.720Z,"34km SSE of Morton, Washington",earthquake,0.54,1.46,0.277,6,reviewed,uw,uw
2018-01-06T15:32:33.311Z,60.7212,-151.8488,81.8,1.8,ml,,,,0.36,ak,ak17952394,2018-01-06T15:36:55.946Z,"30km W of Nikiski, Alaska",earthquake,,1,,,automatic,ak,ak
2018-01-06T15:22:09.880Z,34.6494,45.7993,10,5,mww,,53,0.47,1.33,us,us1000c1fi,2018-01-06T20:25:00.168Z,"21km NNW of Sarpol-e Zahab, Iran",earthquake,5.9,1.9,0.073,18,reviewed,us,us
2018-01-06T15:19:10.900Z,38.8246651,-122.8546677,2.2,1.03,md,15,77,0.003352,0.03,nc,nc72949826,2018-01-06T17:07:01.934Z,"10km WNW of The Geysers, CA",earthquake,0.29,0.49,0.18,3,automatic,nc,nc
2018-01-06T15:10:00.260Z,33.519,-116.7921667,2.7,0.25,ml,19,70,0.06513,0.22,ci,ci37848079,2018-01-06T15:13:43.477Z,"11km NE of Aguanga, CA",earthquake,0.33,0.53,0.136,9,automatic,ci,ci
2018-01-06T15:08:40.599Z,59.9223,-141.5069,0,2.1,ml,,,,0.66,ak,ak17952391,2018-01-06T15:21:32.408Z,"54km ESE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-06T14:51:33.290Z,18.0998,-68.657,110,3.2,md,5,221,1.618,0.31,pr,pr2018006006,2018-01-06T17:34:02.153Z,"31km S of Boca de Yuma, Dominican Republic",earthquake,6.17,5.15,0.4,4,reviewed,pr,pr
2018-01-06T14:23:05.040Z,34.1746667,-117.8148333,9.46,1.27,ml,28,50,0.0829,0.26,ci,ci37848071,2018-01-06T14:26:50.386Z,"6km NE of Glendora, CA",earthquake,0.37,0.82,0.156,29,automatic,ci,ci
2018-01-06T14:19:27.860Z,42.2419,-104.7215,5,2.5,ml,,107,1.089,1.43,us,us1000c1f3,2018-01-07T02:26:59.647Z,"3km SSE of Guernsey, Wyoming",earthquake,3.6,1.5,0.256,2,reviewed,us,us
